threshold,precision,recall,specificity,f1,predicted_positive_rate,false_positives,false_negatives,total_cost,cost_per_client
0.7250000000000001,0.7952941176470588,0.12733094744773027,0.9906907067572629,0.21951615522000326,0.035416666666666666,174,4633,23339.0,0.9724583333333333
0.7300000000000001,0.7982120051085568,0.11772461857223583,0.9915467337221122,0.2051871306631648,0.032625,158,4684,23578.0,0.9824166666666667
0.7350000000000001,0.7943661971830986,0.10623469579958561,0.9921887539457493,0.18740654593786343,0.029583333333333333,146,4745,23871.0,0.994625
0.7400000000000001,0.7943485086342229,0.09530985119608212,0.9929912792252956,0.1701984527413387,0.02654166666666667,131,4803,24146.0,1.0060833333333334
0.7450000000000001,0.801056338028169,0.08570352232058769,0.9939543095607511,0.15484090522375363,0.023666666666666666,113,4854,24383.0,1.0159583333333333
0.7500000000000001,0.8109756097560976,0.07515539649651536,0.9950243432668129,0.1375624892259955,0.0205,93,4910,24643.0,1.0267916666666668
0.755,0.8173076923076923,0.06404219250329629,0.9959338719169654,0.11877729257641921,0.017333333333333333,76,4969,24921.0,1.038375
0.76,0.8244047619047619,0.05217555095121492,0.9968434005671178,0.09813994685562445,0.014,59,5032,25219.0,1.0507916666666666
0.765,0.8263888888888888,0.0448295347523074,0.9973249157348456,0.08504556012149365,0.012,50,5071,25405.0,1.0585416666666667
0.77,0.8356164383561644,0.03446976831795065,0.9980739393290888,0.06620839363241679,0.009125,36,5126,25666.0,1.0694166666666667
0.775,0.8181818181818182,0.023733283104162742,0.9985019528115135,0.04612850082372323,0.006416666666666667,28,5183,25943.0,1.0809583333333332
0.78,0.845360824742268,0.01544546995667734,0.9991974747204537,0.030336662967073623,0.0040416666666666665,15,5227,26150.0,1.0895833333333333
0.785,0.8285714285714286,0.010924844603503485,0.999357979776363,0.021565346718720953,0.002916666666666667,12,5251,26267.0,1.0944583333333333
0.79,0.8372093023255814,0.0067809380297607835,0.9996254882028784,0.013452914798206279,0.0017916666666666667,7,5273,26372.0,1.0988333333333333
0.795,0.8095238095238095,0.0032021096251648143,0.9997859932587877,0.006378986866791745,0.000875,4,5292,26464.0,1.1026666666666667
0.8,0.8181818181818182,0.0016952345074401959,0.9998929966293938,0.0033834586466165413,0.0004583333333333333,2,5300,26502.0,1.10425
